age,gender,enjoy_level,understandability,completion,duration
8,1,3,0,1,28
8,1,3,0,1,23
8,1,3,0,1,30
8,1,3,0,1,24
8,1,3,0,2,22
8,1,3,0,2,24
8,1,3,0,2,26
8,1,3,0,2,20
8,1,3,0,2,30
8,1,3,0,2,25
8,1,3,0,2,23
8,1,3,0,2,21
8,1,3,0,3,20
8,1,3,0,3,23
8,1,3,0,3,19
8,1,3,0,3,25
8,1,3,0,3,22
8,1,3,0,3,29
8,1,3,0,3,26
8,1,3,0,3,27
8,1,3,1,1,20
8,1,3,1,1,23
8,1,3,1,1,25
8,1,3,1,1,27
8,1,3,1,1,18
8,1,3,1,2,18
8,1,3,1,2,18
8,1,3,1,2,20
8,1,3,1,2,22
8,1,3,1,2,25
8,1,3,1,2,18
8,1,3,1,3,15
8,1,3,1,3,17
8,1,3,1,3,14
8,1,3,1,3,19
8,1,3,1,3,20
9,0,1,0,1,38
9,0,1,0,1,35
9,0,1,0,1,32
9,0,1,0,1,40
9,0,1,0,1,37
9,0,1,0,1,39
9,0,1,0,2,33
9,0,1,0,2,35
9,0,1,0,2,36
9,0,1,0,2,37
9,0,1,0,2,30
9,0,1,0,3,27
9,0,1,0,3,29
9,0,1,0,3,30
9,0,1,0,3,25
9,0,1,0,3,32
9,0,1,1,1,32
9,0,1,1,1,34
9,0,1,1,1,35
9,0,1,1,1,40
9,0,1,1,1,30
9,0,1,1,2,29
9,0,1,1,2,27
9,0,1,1,2,30
9,0,1,1,2,25
9,0,1,1,2,28
9,0,1,1,3,27
9,0,1,1,3,29
9,0,1,1,3,30
9,0,1,1,3,33
9,0,1,1,3,25
9,0,2,0,1,27
9,0,2,0,1,29
9,0,2,0,1,30
9,0,2,0,1,33
9,0,2,0,1,25
9,0,2,0,2,25
9,0,2,0,2,27
9,0,2,0,2,29
9,0,2,0,2,30
9,0,2,0,2,23
9,0,2,0,2,22
9,0,2,0,3,22
9,0,2,0,3,24
9,0,2,0,3,26
9,0,2,0,3,20
9,0,2,0,3,28
9,0,2,1,1,27
9,0,2,1,1,29
9,0,2,1,1,30
9,0,2,1,1,25
9,0,2,1,1,32
9,0,2,1,2,22
9,0,2,1,2,24
9,0,2,1,2,20
9,0,2,1,2,26
9,0,2,1,2,28
9,0,2,1,2,25
9,0,2,1,3,19
9,0,2,1,3,15
9,0,2,1,3,20
9,0,2,1,3,22
9,0,2,1,3,25
9,0,2,1,3,21
9,0,2,1,3,23
9,0,2,1,3,18
9,0,3,0,1,27
9,0,3,0,1,29
9,0,3,0,1,32
9,0,3,0,1,30
9,0,3,0,1,25
9,0,3,0,1,33
9,0,3,0,2,25
9,0,3,0,2,24
9,0,3,0,2,22
9,0,3,0,2,27
9,0,3,0,2,29
9,0,3,0,3,22
9,0,3,0,3,20
9,0,3,0,3,24
9,0,3,0,3,26
9,0,3,0,3,23
9,0,3,0,3,25
9,0,3,0,3,22
9,0,3,0,3,21
9,0,3,1,1,23
9,0,3,1,1,21
9,0,3,1,1,22
9,0,3,1,1,25
9,0,3,1,1,20
9,0,3,1,1,22
9,0,3,1,2,18
9,0,3,1,2,19
9,0,3,1,2,20
9,0,3,1,2,22
9,0,3,1,2,21
9,0,3,1,2,17
9,0,3,1,2,16
9,0,3,1,3,15
9,0,3,1,3,17
9,0,3,1,3,16
9,0,3,1,3,19
9,0,3,1,3,22
9,0,3,1,3,14
9,1,1,0,1,33
9,1,1,0,1,32
9,1,1,0,1,35
9,1,1,0,1,34
9,1,1,0,1,31
9,1,1,0,1,30
9,1,1,0,2,27
9,1,1,0,2,29
9,1,1,0,2,28
9,1,1,0,2,26
9,1,1,0,2,25
9,1,1,0,2,29
9,1,1,0,3,22
9,1,1,0,3,24
9,1,1,0,3,23
9,1,1,0,3,25
9,1,1,0,3,20
9,1,1,0,3,26
9,1,1,1,1,27
9,1,1,1,1,26
9,1,1,1,1,25
9,1,1,1,1,24
9,1,1,1,1,30
9,1,1,1,1,32
9,1,1,1,2,25
9,1,1,1,2,23
9,1,1,1,2,27
9,1,1,1,2,28
9,1,1,1,2,26
9,1,1,1,2,24
9,1,1,1,3,22
9,1,1,1,3,21
9,1,1,1,3,23
9,1,1,1,3,24
9,1,1,1,3,25
9,1,2,0,1,22
9,1,2,0,1,21
9,1,2,0,1,23
9,1,2,0,1,24
9,1,2,0,1,25
9,1,2,0,2,18
9,1,2,0,2,17
9,1,2,0,2,16
9,1,2,0,2,20
9,1,2,0,2,21
9,1,2,0,2,19
9,1,2,0,3,17
9,1,2,0,3,16
9,1,2,0,3,15
9,1,2,0,3,18
9,1,2,0,3,19
9,1,2,0,3,20
9,1,2,1,1,22
9,1,2,1,1,21
9,1,2,1,1,23
9,1,2,1,1,20
9,1,2,1,1,25
9,1,2,1,2,17
9,1,2,1,2,16
9,1,2,1,2,15
9,1,2,1,2,18
9,1,2,1,2,19
9,1,2,1,3,15
9,1,2,1,3,14
9,1,2,1,3,16
9,1,2,1,3,18
9,1,2,1,3,17
9,1,3,0,1,22
9,1,3,0,1,21
9,1,3,0,1,23
9,1,3,0,1,24
9,1,3,0,1,20
9,1,3,0,1,25
9,1,3,0,2,19
9,1,3,0,2,18
9,1,3,0,2,17
9,1,3,0,2,20
9,1,3,0,2,21
9,1,3,0,2,22
9,1,3,0,3,17
9,1,3,0,3,16
9,1,3,0,3,15
9,1,3,0,3,18
9,1,3,0,3,19
9,1,3,0,3,20
9,1,3,1,1,16
9,1,3,1,1,15
9,1,3,1,1,14
9,1,3,1,1,20
9,1,3,1,1,17
9,1,3,1,1,18
9,1,3,1,2,15
9,1,3,1,2,14
9,1,3,1,2,16
9,1,3,1,2,17
9,1,3,1,2,18
9,1,3,1,3,20
9,1,3,1,3,13
9,1,3,1,3,22
9,1,3,1,3,16
9,1,3,1,3,15
9,1,3,1,3,17
10,0,1,0,1,35
10,0,1,0,1,36
10,0,1,0,1,33
10,0,1,0,1,34
10,0,1,0,1,38
10,0,1,0,1,40
10,0,1,0,2,30
10,0,1,0,2,32
10,0,1,0,2,34
10,0,1,0,2,31
10,0,1,0,2,33
10,0,1,0,2,29
10,0,1,0,2,28
10,0,1,0,3,25
10,0,1,0,3,27
10,0,1,0,3,26
10,0,1,0,3,24
10,0,1,0,3,28
10,0,1,1,1,30
10,0,1,1,1,32
10,0,1,1,1,34
10,0,1,1,1,29
10,0,1,1,1,33
10,0,1,1,2,28
10,0,1,1,2,26
10,0,1,1,2,29
10,0,1,1,2,27
10,0,1,1,2,30
10,0,1,1,2,25
10,0,1,1,3,25
10,0,1,1,3,24
10,0,1,1,3,27
10,0,1,1,3,28
10,0,1,1,3,26
10,0,2,0,1,25
10,0,2,0,1,23
10,0,2,0,1,26
10,0,2,0,1,28
10,0,2,0,1,24
10,0,2,0,1,27
10,0,2,0,2,23
10,0,2,0,2,22
10,0,2,0,2,24
10,0,2,0,2,21
10,0,2,0,2,28
10,0,2,0,2,25
10,0,2,0,3,20
10,0,2,0,3,22
10,0,2,0,3,23
10,0,2,0,3,21
10,0,2,0,3,25
10,0,2,0,3,19
10,0,2,1,1,25
10,0,2,1,1,27
10,0,2,1,1,24
10,0,2,1,1,28
10,0,2,1,1,26
10,0,2,1,1,25
10,0,2,1,2,20
10,0,2,1,2,22
10,0,2,1,2,23
10,0,2,1,2,21
10,0,2,1,2,19
10,0,2,1,3,17
10,0,2,1,3,15
10,0,2,1,3,18
10,0,2,1,3,16
10,0,2,1,3,20
10,0,3,0,1,25
10,0,3,0,1,24
10,0,3,0,1,23
10,0,3,0,1,27
10,0,3,0,1,28
10,0,3,0,2,23
10,0,3,0,2,22
10,0,3,0,2,21
10,0,3,0,2,24
10,0,3,0,2,25
10,0,3,0,3,20
10,0,3,0,3,21
10,0,3,0,3,19
10,0,3,0,3,22
10,0,3,0,3,24
10,0,3,1,1,20
10,0,3,1,1,21
10,0,3,1,1,19
10,0,3,1,1,22
10,0,3,1,1,24
10,0,3,1,2,18
10,0,3,1,2,17
10,0,3,1,2,16
10,0,3,1,2,19
10,0,3,1,2,20
10,0,3,1,3,15
10,0,3,1,3,16
10,0,3,1,3,14
10,0,3,1,3,18
10,0,3,1,3,19
10,1,1,0,1,30
10,1,1,0,1,32
10,1,1,0,1,35
10,1,1,0,1,33
10,1,1,0,1,29
10,1,1,0,1,36
10,1,1,0,1,21
10,1,1,0,2,25
10,1,1,0,2,24
10,1,1,0,2,23
10,1,1,0,2,26
10,1,1,0,2,28
10,1,1,0,3,20
10,1,1,0,3,19
10,1,1,0,3,21
10,1,1,0,3,24
10,1,1,0,3,23
10,1,1,1,1,25
10,1,1,1,1,24
10,1,1,1,1,23
10,1,1,1,1,27
10,1,1,1,1,26
10,1,1,1,2,23
10,1,1,1,2,22
10,1,1,1,2,21
10,1,1,1,2,25
10,1,1,1,2,26
10,1,1,1,2,24
10,1,1,1,3,20
10,1,1,1,3,19
10,1,1,1,3,18
10,1,1,1,3,20
10,1,1,1,3,19
10,1,2,0,1,18
10,1,2,0,1,22
10,1,2,0,1,24
10,1,2,0,1,23
10,1,2,0,1,25
10,1,2,0,2,20
10,1,2,0,2,29
10,1,2,0,2,28
10,1,2,0,2,22
10,1,2,0,2,25
10,1,2,0,2,23
10,1,2,0,3,15
10,1,2,0,3,14
10,1,2,0,3,17
10,1,2,0,3,18
10,1,2,0,3,16
10,1,2,1,1,20
10,1,2,1,1,19
10,1,2,1,1,18
10,1,2,1,1,22
10,1,2,1,1,24
10,1,2,1,2,15
10,1,2,1,2,14
10,1,2,1,2,18
10,1,2,1,2,16
10,1,2,1,2,17
10,1,2,1,3,15
10,1,2,1,3,14
10,1,2,1,3,18
10,1,2,1,3,16
10,1,2,1,3,17
10,1,3,0,1,20
10,1,3,0,1,22
10,1,3,0,1,19
10,1,3,0,1,23
10,1,3,0,1,25
10,1,3,0,2,18
10,1,3,0,2,19
10,1,3,0,2,17
10,1,3,0,2,20
10,1,3,0,2,22
10,1,3,0,2,21
10,1,3,0,3,15
10,1,3,0,3,18
10,1,3,0,3,14
10,1,3,0,3,16
10,1,3,0,3,17
10,1,3,0,3,19
10,1,3,1,1,15
10,1,3,1,1,18
10,1,3,1,1,14
10,1,3,1,1,16
10,1,3,1,1,17
10,1,3,1,2,15
10,1,3,1,2,14
10,1,3,1,2,16
10,1,3,1,2,17
10,1,3,1,2,19
10,1,3,1,3,15
10,1,3,1,3,18
10,1,3,1,3,14
10,1,3,1,3,16
10,1,3,1,3,20
10,1,3,1,3,17
